2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:14:24 info: Row(s) deleted
2024-10-04 16:30:22 info: Row(s) deleted
2024-10-04 16:38:11 info: Row(s) deleted
2024-10-04 16:38:12 info: Row(s) deleted
2024-10-04 16:40:42 info: Row(s) deleted
2024-10-04 16:41:34 info: Congratulations, your extension "Embold" is now active!
2024-10-04 16:41:34 info: tempDirectory : /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-10-04 16:41:43 info: Extraction complete for source: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/resources/embold-scanner-archive.zip, destination: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-10-04 16:41:43 info: Extension installed on machine OS : darwin
2024-10-04 16:41:43 info: Fetched the issues from DB
2024-10-04 16:41:43 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2024-10-04 16:41:43 info: Current installed embold extension version : 0.1.8
2024-10-04 16:41:43 info: Latest embold extension version on marketplace : 0.1.6
2024-10-04 16:41:44 info: Java version installed on machine : 
openjdk version "19.0.2" 2023-01-17
OpenJDK Runtime Environment (build 19.0.2+7-44)
OpenJDK 64-Bit Server VM (build 19.0.2+7-44, mixed mode, sharing)

2024-10-04 16:41:44 info: Java installed on machine.
2024-10-04 16:42:38 info: Row(s) deleted
2024-10-04 16:43:50 info: Row(s) deleted
2024-10-04 16:43:50 info: Row(s) deleted
2024-10-04 16:43:50 info: Row(s) deleted
2024-10-04 16:43:50 info: Row(s) deleted
2024-10-04 16:43:50 info: Row(s) deleted
2024-10-04 16:43:50 info: Row(s) deleted
2024-10-04 16:43:50 info: Row(s) deleted
2024-10-04 16:43:50 info: Row(s) deleted
2024-10-04 16:43:50 info: Row(s) deleted
2024-10-04 16:47:34 info: Row(s) deleted
2024-10-04 16:49:06 info: Row(s) deleted
2024-10-04 16:55:39 info: Row(s) deleted
2024-10-04 17:40:20 info: Row(s) deleted
2024-10-04 17:43:18 info: Row(s) deleted
2024-10-04 17:46:27 info: Row(s) deleted
2024-10-04 17:46:27 info: Row(s) deleted
2024-10-04 17:46:29 info: Row(s) deleted
2024-10-04 17:46:29 info: Row(s) deleted
2024-10-04 17:46:30 info: Row(s) deleted
2024-10-04 17:46:30 info: Row(s) deleted
2024-10-04 17:46:30 info: Row(s) deleted
2024-10-04 17:50:32 info: Row(s) deleted
2024-10-04 17:51:29 info: Row(s) deleted
2024-10-04 17:59:31 info: Row(s) deleted
2024-10-04 17:59:31 info: Row(s) deleted
2024-10-04 17:59:31 info: Row(s) deleted
2024-10-04 17:59:35 info: Row(s) deleted
2024-10-04 17:59:36 info: Row(s) deleted
2024-10-04 17:59:36 info: Row(s) deleted
2024-10-04 17:59:36 info: Row(s) deleted
2024-10-04 19:40:34 info: Row(s) deleted
2024-10-04 19:40:34 info: Row(s) deleted
2024-10-04 19:40:34 info: Row(s) deleted
2024-10-04 19:40:38 info: Row(s) deleted
2024-10-04 19:40:39 info: Row(s) deleted
2024-10-04 19:40:39 info: Row(s) deleted
2024-10-04 19:40:39 info: Row(s) deleted
2024-10-04 19:40:39 info: Row(s) deleted
2024-10-04 19:40:39 info: Row(s) deleted
2024-10-04 19:41:14 info: Row(s) deleted
2024-10-04 19:41:14 info: Row(s) deleted
2024-10-04 19:41:14 info: Row(s) deleted
2024-10-04 19:41:17 info: Row(s) deleted
2024-10-04 19:41:18 info: Row(s) deleted
2024-10-04 19:41:18 info: Row(s) deleted
2024-10-04 19:41:18 info: Row(s) deleted
2024-10-04 19:41:18 info: Row(s) deleted
2024-10-04 19:41:18 info: Row(s) deleted
2024-10-04 19:43:31 info: Row(s) deleted
2024-10-04 19:43:31 info: Row(s) deleted
2024-10-04 19:43:31 info: Row(s) deleted
2024-10-04 19:43:35 info: Row(s) deleted
2024-10-04 19:43:35 info: Row(s) deleted
2024-10-04 19:43:36 info: Row(s) deleted
2024-10-04 19:43:36 info: Row(s) deleted
2024-10-04 19:43:36 info: Row(s) deleted
2024-10-04 19:43:36 info: Row(s) deleted
2024-10-04 19:45:01 info: Row(s) deleted
2024-10-04 19:45:01 info: Row(s) deleted
2024-10-04 19:45:01 info: Row(s) deleted
2024-10-04 19:45:01 info: Row(s) deleted
2024-10-04 19:45:05 info: Row(s) deleted
2024-10-04 19:45:05 info: Row(s) deleted
2024-10-04 19:45:06 info: Row(s) deleted
2024-10-04 19:45:06 info: Row(s) deleted
2024-10-04 19:45:06 info: Row(s) deleted
2024-10-04 19:46:22 info: Row(s) deleted
2024-10-04 19:46:22 info: Row(s) deleted
2024-10-04 19:46:22 info: Row(s) deleted
2024-10-04 19:46:22 info: Row(s) deleted
2024-10-04 19:46:26 info: Row(s) deleted
2024-10-04 19:46:27 info: Row(s) deleted
2024-10-04 19:46:27 info: Row(s) deleted
2024-10-04 19:46:27 info: Row(s) deleted
2024-10-04 19:46:27 info: Row(s) deleted
2024-10-04 19:46:27 info: Row(s) deleted
2024-10-04 19:46:27 info: Row(s) deleted
2024-10-04 19:48:00 info: Row(s) deleted
2024-10-04 19:48:00 info: Row(s) deleted
2024-10-04 19:48:00 info: Row(s) deleted
2024-10-04 19:48:04 info: Row(s) deleted
2024-10-04 19:48:05 info: Row(s) deleted
2024-10-04 19:48:05 info: Row(s) deleted
2024-10-04 19:48:05 info: Row(s) deleted
2024-10-04 19:48:05 info: Row(s) deleted
2024-10-04 19:48:05 info: Row(s) deleted
2024-10-04 19:48:05 info: Row(s) deleted
2024-10-04 19:49:17 info: Row(s) deleted
2024-10-04 19:49:17 info: Row(s) deleted
2024-10-04 19:49:17 info: Row(s) deleted
2024-10-04 19:49:17 info: Row(s) deleted
2024-10-04 19:49:17 info: Row(s) deleted
2024-10-04 19:49:17 info: Row(s) deleted
2024-10-04 19:49:17 info: Row(s) deleted
2024-10-04 19:49:17 info: Row(s) deleted
2024-10-04 19:49:21 info: Row(s) deleted
2024-10-04 19:49:22 info: Row(s) deleted
2024-10-04 19:49:22 info: Row(s) deleted
2024-10-04 19:49:22 info: Row(s) deleted
2024-10-04 19:49:22 info: Row(s) deleted
2024-10-04 19:49:22 info: Row(s) deleted
2024-10-04 19:49:22 info: Row(s) deleted
2024-10-04 19:49:32 info: Row(s) deleted
2024-10-04 19:49:32 info: Row(s) deleted
2024-10-04 19:49:32 info: Row(s) deleted
2024-10-04 19:49:36 info: Row(s) deleted
2024-10-04 19:49:37 info: Row(s) deleted
2024-10-04 19:49:37 info: Row(s) deleted
2024-10-04 19:49:37 info: Row(s) deleted
2024-10-04 19:51:42 info: Row(s) deleted
2024-10-04 19:52:00 info: Row(s) deleted
2024-10-04 19:52:57 info: Row(s) deleted
2024-10-04 19:53:05 info: Row(s) deleted
2024-10-04 19:53:35 info: Row(s) deleted
2024-10-04 19:54:36 info: Row(s) deleted
2024-10-04 19:54:47 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:38 info: Row(s) deleted
2024-10-04 19:58:39 info: Row(s) deleted
2024-10-04 19:58:39 info: Row(s) deleted
2024-10-04 19:58:43 info: Row(s) deleted
2024-10-04 19:58:44 info: Row(s) deleted
2024-10-04 19:58:44 info: Row(s) deleted
2024-10-04 19:58:45 info: Row(s) deleted
2024-10-04 19:58:45 info: Row(s) deleted
2024-10-04 19:58:45 info: Row(s) deleted
2024-10-04 20:00:25 info: Row(s) deleted
2024-10-04 20:00:25 info: Row(s) deleted
2024-10-04 20:00:25 info: Row(s) deleted
2024-10-04 20:00:29 info: Row(s) deleted
2024-10-04 20:00:29 info: Row(s) deleted
2024-10-04 20:00:30 info: Row(s) deleted
2024-10-04 20:00:30 info: Row(s) deleted
2024-10-04 20:00:30 info: Row(s) deleted
2024-10-04 20:00:30 info: Row(s) deleted
2024-10-04 20:02:40 info: Row(s) deleted
2024-10-04 20:02:40 info: Row(s) deleted
2024-10-04 20:02:40 info: Row(s) deleted
2024-10-04 20:02:46 info: Row(s) deleted
2024-10-04 20:02:46 info: Row(s) deleted
2024-10-04 20:02:46 info: Row(s) deleted
2024-10-04 20:02:46 info: Row(s) deleted
2024-10-04 20:02:46 info: Row(s) deleted
2024-10-04 20:05:01 info: Row(s) deleted
2024-10-04 20:05:01 info: Row(s) deleted
2024-10-04 20:05:01 info: Row(s) deleted
2024-10-04 20:05:05 info: Row(s) deleted
2024-10-04 20:05:06 info: Row(s) deleted
2024-10-04 20:05:06 info: Row(s) deleted
2024-10-04 20:05:06 info: Row(s) deleted
2024-10-04 20:05:06 info: Row(s) deleted
2024-10-04 20:05:06 info: Row(s) deleted
2024-10-04 20:05:06 info: Row(s) deleted
2024-10-04 20:10:14 info: Row(s) deleted
2024-10-04 20:10:34 info: Row(s) deleted
2024-10-04 20:11:36 info: Row(s) deleted
2024-10-04 20:18:48 info: Row(s) deleted
2024-10-04 20:18:55 info: Row(s) deleted
2024-10-04 20:34:41 info: Row(s) deleted
2024-10-04 20:34:42 info: Row(s) deleted
2024-10-04 20:34:42 info: Row(s) deleted
2024-10-04 20:34:42 info: Row(s) deleted
2024-10-04 20:34:42 info: Row(s) deleted
2024-10-04 20:34:43 info: Row(s) deleted
2024-10-04 20:34:44 info: Row(s) deleted
2024-10-04 20:34:44 info: Row(s) deleted
2024-10-04 20:34:46 info: Row(s) deleted
2024-10-04 20:34:46 info: Row(s) deleted
2024-10-04 20:34:54 info: Row(s) deleted
2024-10-04 20:36:58 info: Row(s) deleted
2024-10-04 20:38:57 info: Row(s) deleted
2024-10-04 20:39:56 info: Row(s) deleted
2024-10-04 20:40:03 info: Row(s) deleted
2024-10-04 20:40:03 info: Row(s) deleted
2024-10-04 20:40:16 info: Row(s) deleted
2024-10-04 20:42:29 info: Row(s) deleted
2024-10-04 20:42:29 info: Row(s) deleted
2024-10-04 20:42:33 info: Row(s) deleted
2024-10-04 20:42:33 info: Row(s) deleted
2024-10-04 20:44:39 info: Row(s) deleted
2024-10-04 20:44:40 info: Row(s) deleted
2024-10-04 20:44:42 info: Row(s) deleted
2024-10-04 20:44:44 info: Row(s) deleted
2024-10-04 20:45:08 info: Row(s) deleted
2024-10-04 20:45:32 info: Row(s) deleted
2024-10-04 20:45:32 info: Row(s) deleted
2024-10-04 20:46:58 info: Row(s) deleted
2024-10-04 20:48:05 info: Row(s) deleted
2024-10-04 20:57:31 info: Row(s) deleted
2024-10-04 20:57:35 info: Row(s) deleted
2024-10-04 20:57:35 info: Row(s) deleted
2024-10-04 20:57:35 info: Row(s) deleted
2024-10-04 20:57:36 info: Row(s) deleted
2024-10-04 21:21:02 info: Row(s) deleted
2024-10-04 21:21:03 info: Row(s) deleted
2024-10-04 21:21:06 info: Row(s) deleted
2024-10-04 21:21:06 info: Row(s) deleted
2024-10-04 21:21:06 info: Row(s) deleted
2024-10-04 21:21:07 info: Row(s) deleted
2024-10-04 21:21:08 info: Row(s) deleted
2024-10-04 21:21:09 info: Row(s) deleted
2024-10-04 21:21:10 info: Row(s) deleted
2024-10-04 21:21:10 info: Row(s) deleted
2024-10-04 21:21:11 info: Row(s) deleted
2024-10-04 21:33:38 info: Row(s) deleted
2024-10-04 21:33:38 info: Row(s) deleted
2024-10-04 21:36:29 info: Row(s) deleted
2024-10-04 21:36:48 info: Row(s) deleted
2024-10-04 21:37:10 info: Row(s) deleted
2024-10-04 21:37:20 info: Row(s) deleted
2024-10-04 21:37:34 info: Row(s) deleted
2024-10-04 21:38:10 info: Row(s) deleted
2024-10-04 21:38:26 info: Row(s) deleted
2024-10-04 21:38:40 info: Row(s) deleted
2024-10-04 21:40:12 info: Row(s) deleted
2024-10-04 21:40:27 info: Row(s) deleted
2024-10-04 21:40:38 info: Row(s) deleted
2024-10-04 21:43:28 info: Row(s) deleted
2024-10-04 21:43:28 info: Row(s) deleted
2024-10-04 21:43:28 info: Row(s) deleted
2024-10-04 21:43:32 info: Row(s) deleted
2024-10-04 21:43:34 info: Row(s) deleted
2024-10-04 21:43:34 info: Row(s) deleted
2024-10-04 21:43:34 info: Row(s) deleted
2024-10-04 21:43:34 info: Row(s) deleted
2024-10-04 21:43:34 info: Row(s) deleted
2024-10-04 21:43:34 info: Row(s) deleted
2024-10-04 21:45:12 info: Row(s) deleted
2024-10-04 21:46:25 info: Row(s) deleted
2024-10-04 21:46:25 info: Row(s) deleted
2024-10-04 21:46:25 info: Row(s) deleted
2024-10-04 21:46:25 info: Row(s) deleted
2024-10-04 21:46:29 info: Row(s) deleted
2024-10-04 21:46:30 info: Row(s) deleted
2024-10-04 21:46:30 info: Row(s) deleted
2024-10-04 21:46:30 info: Row(s) deleted
2024-10-04 21:46:30 info: Row(s) deleted
2024-10-04 21:46:30 info: Row(s) deleted
2024-10-04 21:50:08 info: Row(s) deleted
2024-10-04 21:51:27 info: Row(s) deleted
2024-10-04 21:51:27 info: Row(s) deleted
2024-10-04 21:51:27 info: Row(s) deleted
2024-10-04 21:51:27 info: Row(s) deleted
2024-10-04 21:51:31 info: Row(s) deleted
2024-10-04 21:51:32 info: Row(s) deleted
2024-10-04 21:51:32 info: Row(s) deleted
2024-10-04 21:51:32 info: Row(s) deleted
2024-10-04 21:51:32 info: Row(s) deleted
2024-10-04 21:51:32 info: Row(s) deleted
2024-10-04 21:51:32 info: Row(s) deleted
2024-10-04 21:55:16 info: Row(s) deleted
2024-10-04 21:55:16 info: Row(s) deleted
2024-10-04 21:55:16 info: Row(s) deleted
2024-10-04 21:55:21 info: Row(s) deleted
2024-10-04 21:55:22 info: Row(s) deleted
2024-10-04 21:55:22 info: Row(s) deleted
2024-10-04 21:55:22 info: Row(s) deleted
2024-10-07 23:02:06 info: Congratulations, your extension "Embold" is now active!
2024-10-07 23:02:06 info: tempDirectory : /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-10-07 23:02:51 info: Extraction complete for source: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/resources/embold-scanner-archive.zip, destination: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-10-07 23:02:51 info: Extension installed on machine OS : darwin
2024-10-07 23:02:51 info: Fetched the issues from DB
2024-10-07 23:02:52 info: Java version installed on machine : 
openjdk version "19.0.2" 2023-01-17
OpenJDK Runtime Environment (build 19.0.2+7-44)
OpenJDK 64-Bit Server VM (build 19.0.2+7-44, mixed mode, sharing)

2024-10-07 23:02:52 info: Java installed on machine.
2024-10-07 23:02:55 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2024-10-07 23:02:55 info: Current installed embold extension version : 0.1.8
2024-10-07 23:02:55 info: Latest embold extension version on marketplace : 0.1.6
2024-10-08 15:07:13 info: Congratulations, your extension "Embold" is now active!
2024-10-08 15:07:13 info: tempDirectory : /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-10-08 15:07:23 info: Extraction complete for source: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/resources/embold-scanner-archive.zip, destination: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-10-08 15:07:23 info: Extension installed on machine OS : darwin
2024-10-08 15:07:23 info: Fetched the issues from DB
